target_class,start_frame,end_frame,update_id,donor_count,x,y,error_dx,error_dy,center_error,iou,valid,boundary
small_launcher,16,17,small_launcher:17,9,1783.5,1198.5,4.5,0.5,4.527692569068709,0.6538695917123705,1,0
small_launcher,17,18,small_launcher:18,9,1782.5,1266.0,4.5,-3.5,5.70087712549569,0.5509974711997753,1,0
small_launcher,18,19,small_launcher:19,8,1781.5,1335.0,5.5,-4.75,7.267220926874317,0.46881342172913004,0,0
small_launcher,19,20,small_launcher:20,8,1780.5,1404.5,0.75,-5.0,5.055937104039171,0.6714395688991532,1,0
small_launcher,20,21,small_launcher:21,9,1779.5,1475.0,-2.5,-7.0,7.433034373659253,0.5189873417721519,1,0
small_launcher,21,22,small_launcher:22,9,1778.5,1547.0,-2.5,-7.0,7.433034373659253,0.5149316215461903,1,0
small_launcher,22,23,small_launcher:23,8,1777.5,1619.5,-1.5,-6.75,6.914658342969665,0.5590942293644996,1,0
small_launcher,23,24,small_launcher:24,7,1776.5,1693.5,-5.5,-7.0,8.902246907382429,0.4095139607032058,0,0
small_plane,0,1,small_plane:1,10,2048.5,1526.0,-1.0,-10.75,10.796411440844592,0.6120794487231456,1,0
small_plane,1,2,small_plane:2,9,2049.5,1597.5,-1.5,-13.0,13.0862523283024,0.5477657935285054,1,0
small_plane,2,3,small_plane:3,9,2050.5,1670.5,-2.0,-12.5,12.658988901172163,0.5524449421425905,1,0
small_plane,3,4,small_plane:4,10,2051.5,1744.0,-0.5,-14.5,14.508618128546908,0.5405284370801612,1,0
small_plane,4,5,small_plane:5,10,2052.5,1819.0,-0.75,-14.75,14.76905548774193,0.5298748082097352,1,0
small_plane,5,6,small_plane:6,10,2053.5,1895.0,-0.25,-15.5,15.502015997927495,0.5255993677000088,1,0
small_plane,6,7,small_plane:7,11,2054.5,1972.5,1.0,-17.0,17.029386365926403,0.48624161073825506,0,0
small_plane,7,8,small_plane:8,11,2055.5,2051.0,0.5,-17.5,17.507141400011598,0.487913172175629,0,0
small_tower,0,1,small_tower:1,10,2642.5,821.0,-4.5,-1.0,4.6097722286464435,0.8192122414281666,1,0
small_tower,1,2,small_tower:2,9,2647.0,883.0,-5.5,-3.0,6.264982043070834,0.7440452159870812,1,0
small_tower,2,3,small_tower:3,9,2652.0,946.0,-6.5,-2.0,6.800735254367722,0.7412140575079872,1,0
small_tower,3,4,small_tower:4,10,2657.5,1009.0,-5.0,-4.5,6.726812023536855,0.7254901960784313,1,0
small_tower,4,5,small_tower:5,10,2662.5,1074.0,-5.5,-4.25,6.950719387228922,0.7191201353637902,1,0
small_tower,5,6,small_tower:6,10,2668.0,1139.5,-5.5,-4.5,7.106335201775948,0.7135443694862481,1,0
small_tower,6,7,small_tower:7,11,2673.5,1206.0,-4.5,-6.0,7.5,0.7040381886208231,1,0
small_tower,7,8,small_tower:8,11,2679.0,1273.5,-4.0,-5.5,6.800735254367722,0.7279854856476382,1,0
small_tower,8,9,small_tower:9,10,2684.5,1341.5,-5.25,-9.25,10.636023693091325,0.6201616909805339,1,0
small_tower,9,10,small_tower:10,10,2690.5,1411.5,-5.0,-8.0,9.433981132056603,0.6518563603164942,1,0
small_tower,10,11,small_tower:11,9,2696.0,1481.5,-7.0,-8.5,11.01135777277262,0.6019830028328612,1,0
small_tower,11,12,small_tower:12,9,2702.0,1553.0,-6.0,-9.5,11.236102527122116,0.6005660711126836,1,0
small_tower,12,13,small_tower:13,8,2707.5,1626.0,-5.25,-9.0,10.419332992087353,0.6255566771569384,1,0
small_tower,13,14,small_tower:14,8,2713.5,1699.0,-6.0,-9.5,11.236102527122116,0.6024145336351501,1,0
small_tower,14,15,small_tower:15,9,2720.0,1774.0,-3.5,-10.0,10.594810050208546,0.6384180790960452,1,0
small_tower,15,16,small_tower:16,9,2726.0,1850.0,-4.0,-11.0,11.704699910719626,0.6067902303828165,1,0
small_tower,16,17,small_tower:17,9,2732.5,1927.5,-4.0,-10.5,11.236102527122116,0.6158940397350994,1,0
small_tower,17,18,small_tower:18,9,2738.5,2005.5,-4.0,-14.5,15.041608956491324,0.5350593902238765,1,0
small_tower,18,19,small_tower:19,8,2745.0,2085.5,-5.75,4.75,7.458216945088149,0.5144059566202654,1,1
spacecraft,0,1,spacecraft:1,10,1545.5,651.0,4.0,2.75,4.8541219597369,0.7410528619897122,1,0
spacecraft,1,2,spacecraft:2,9,1542.5,710.5,3.5,3.0,4.6097722286464435,0.753773178094006,1,0
spacecraft,2,3,spacecraft:3,9,1540.0,770.5,4.0,2.0,4.47213595499958,0.7665236051502146,1,0
spacecraft,3,4,spacecraft:4,10,1537.0,831.5,3.5,0.0,3.5,0.8461538461538461,1,0
spacecraft,4,5,spacecraft:5,10,1535.0,893.5,4.25,-0.5,4.2793106921559225,0.8012143755812046,1,0
spacecraft,5,6,spacecraft:6,10,1532.0,956.5,4.25,0.75,4.315669125408017,0.7956939990838295,1,0
spacecraft,6,7,spacecraft:7,11,1529.5,1019.5,5.0,-3.5,6.103277807866851,0.6957746478873239,1,0
spacecraft,7,8,spacecraft:8,11,1526.5,1084.5,4.5,-2.5,5.1478150704935,0.7403551745254133,1,0
spacecraft,8,9,spacecraft:9,10,1524.0,1149.5,5.75,-6.25,8.492643875731515,0.6108711387144224,1,0
spacecraft,9,10,spacecraft:10,10,1521.0,1216.5,5.5,-5.0,7.433034373659253,0.6470588235294118,1,0
spacecraft,10,11,spacecraft:11,9,1518.0,1283.5,5.5,-5.5,7.7781745930520225,0.6363636363636364,1,0
spacecraft,11,12,spacecraft:12,9,1515.0,1352.0,4.5,-6.0,7.5,0.6529080675422139,1,0
spacecraft,12,13,spacecraft:13,8,1512.5,1421.5,6.25,-6.0,8.663861725581729,0.609021199819576,1,0
spacecraft,13,14,spacecraft:14,8,1509.0,1491.5,5.75,-6.5,8.678277478854891,0.6115107913669064,1,0
spacecraft,14,15,spacecraft:15,9,1506.0,1563.5,5.5,-6.5,8.514693182963201,0.6192,1,0
spacecraft,15,16,spacecraft:16,9,1503.0,1636.0,7.0,-7.0,9.899494936611665,0.5740788236299906,1,0
spacecraft,16,17,spacecraft:17,9,1499.5,1709.5,6.5,-7.0,9.5524865872714,0.5871066768994628,1,0
