model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M3_ORACLE_REFRESHED_SHARED,7,>32,3,3,1.0,0,0.0,0.199941449183921,0.1956410837773495,86.61192181218472,0.7217660151015394,10.0,61.333333333333336
M3_ORACLE_REFRESHED_SHARED,8,16-32,39,39,1.0,0,0.0,0.15602340605450918,0.16522005991020142,78.26237921249263,0.8394071062010545,10.35897435897436,6.256410256410256
M3_ORACLE_REFRESHED_SHARED,8,4-<8,32,32,1.0,0,0.0,0.00042518021673748033,0.0,61.47237037014765,3.2450770986544732,1.65625,1.03125
M3_ORACLE_REFRESHED_SHARED,8,8-<16,56,56,1.0,0,0.0,0.00555089318572477,0.0,90.80680502709444,1.6357490882657357,4.053571428571429,3.8214285714285716
M3_ORACLE_REFRESHED_SHARED,8,>32,2,2,1.0,0,0.0,0.16556836376491196,0.16556836376491196,86.49829705183643,1.3481558427496732,11.5,85.5
M3_ORACLE_REFRESHED_SHARED,9,16-32,36,36,1.0,0,0.0,0.11025140754614572,0.11408027563098483,85.82657224374609,0.9517545718713611,11.25,6.944444444444445
M3_ORACLE_REFRESHED_SHARED,9,4-<8,30,30,1.0,0,0.0,0.0,0.0,66.83948537561595,3.5320562022175315,1.9,1.2
M3_ORACLE_REFRESHED_SHARED,9,8-<16,50,50,1.0,0,0.0,0.0010899724755110952,0.0,98.73178964255054,1.8403558042431045,3.88,4.32
M3_ORACLE_REFRESHED_SHARED,9,>32,1,1,1.0,0,0.0,0.14441356079314727,0.14441356079314727,86.0559411080955,2.206562592515269,13.0,125.0
M3_ORACLE_REFRESHED_SHARED,10,16-32,33,33,1.0,0,0.0,0.07253996039781203,0.07239536364384976,94.40901704816125,1.0523394077197008,12.030303030303031,7.636363636363637
M3_ORACLE_REFRESHED_SHARED,10,4-<8,28,28,1.0,0,0.0,0.0,0.0,73.37797185623752,3.8929769363469355,2.1785714285714284,1.3571428571428572
M3_ORACLE_REFRESHED_SHARED,10,8-<16,45,45,1.0,0,0.0,2.653072826849097e-05,0.0,105.89883143831192,2.044900250518086,4.333333333333333,4.8
M3_ORACLE_REFRESHED_SHARED,11,16-32,30,30,1.0,0,0.0,0.043125678764031956,0.03695729141982451,102.00928318958921,1.148271379273202,12.966666666666667,8.3
M3_ORACLE_REFRESHED_SHARED,11,4-<8,26,26,1.0,0,0.0,0.0,0.0,79.48241556753823,4.255064209787944,2.423076923076923,1.5
M3_ORACLE_REFRESHED_SHARED,11,8-<16,40,40,1.0,0,0.0,0.0,0.0,115.0706231465912,2.2562867283645334,4.825,5.4
M3_ORACLE_REFRESHED_SHARED,12,16-32,27,27,1.0,0,0.0,0.020571564426395822,0.013531502124063849,108.41586599755591,1.2482768735585965,13.814814814814815,8.88888888888889
M3_ORACLE_REFRESHED_SHARED,12,4-<8,24,24,1.0,0,0.0,0.0,0.0,86.13737795547456,4.609175486264013,2.625,1.625
M3_ORACLE_REFRESHED_SHARED,12,8-<16,35,35,1.0,0,0.0,0.0,0.0,124.49523083234956,2.48321427405667,5.257142857142857,5.571428571428571
M3_ORACLE_REFRESHED_SHARED,13,16-32,24,24,1.0,0,0.0,0.005465472548086908,0.0,117.13262004484301,1.349918038992648,14.708333333333334,9.541666666666666
M3_ORACLE_REFRESHED_SHARED,13,4-<8,22,22,1.0,0,0.0,0.0,0.0,92.00232696553395,4.956431020370842,2.8636363636363638,1.7727272727272727
M3_ORACLE_REFRESHED_SHARED,13,8-<16,31,31,1.0,0,0.0,0.0,0.0,132.2651220087896,2.6908371513644966,5.645161290322581,6.129032258064516
M3_ORACLE_REFRESHED_SHARED,14,16-32,21,21,1.0,0,0.0,0.0014302531007563976,0.0,125.39238413875063,1.4466369586440118,15.619047619047619,10.238095238095237
M3_ORACLE_REFRESHED_SHARED,14,4-<8,20,20,1.0,0,0.0,0.0,0.0,97.70757591657386,5.397107293146837,3.05,1.9
M3_ORACLE_REFRESHED_SHARED,14,8-<16,27,27,1.0,0,0.0,0.0,0.0,142.13659803161184,2.9146269024999794,5.962962962962963,6.7407407407407405
M3_ORACLE_REFRESHED_SHARED,15,16-32,18,18,1.0,0,0.0,0.0,0.0,151.3040227679482,1.5484786380105695,16.444444444444443,10.777777777777779
M3_ORACLE_REFRESHED_SHARED,15,4-<8,18,18,1.0,0,0.0,0.0,0.0,103.93247666957987,5.750309456635336,3.1666666666666665,2.0
M3_ORACLE_REFRESHED_SHARED,15,8-<16,23,23,1.0,0,0.0,0.0,0.0,152.3665399620271,3.1348719503878812,6.3478260869565215,7.478260869565218
M3_ORACLE_REFRESHED_SHARED,16,16-32,15,15,1.0,0,0.0,0.0,0.0,184.64239085323825,1.6523300864550616,17.333333333333332,11.266666666666667
M3_ORACLE_REFRESHED_SHARED,16,4-<8,16,16,1.0,0,0.0,0.0,0.0,110.07318903219715,6.104843346144971,3.3125,2.0625
M3_ORACLE_REFRESHED_SHARED,16,8-<16,19,19,1.0,0,0.0,0.0,0.0,163.59477375515394,3.361765992485987,6.631578947368421,8.31578947368421
