model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,1,0,204,204,1.0,161,0.7892156862745098,0.6224348742793461,0.6052809601002727,10.770329614269007,0.19862209362386796,0.5833333333333334,0.5245098039215687
M2_SHARED_OPEN_LOOP,1,1,23,23,1.0,13,0.5652173913043478,0.5481375489597129,0.5481844946025515,14.650085323983612,0.27956624091233057,5.260869565217392,16.08695652173913
M2_SHARED_OPEN_LOOP,2,0,189,189,1.0,66,0.3492063492063492,0.4125981112426795,0.3633466135458167,21.70829334609241,0.40017357345143234,1.0634920634920635,0.8571428571428571
M2_SHARED_OPEN_LOOP,2,1,23,23,1.0,7,0.30434782608695654,0.3512822871395708,0.3546845124282983,28.20017730440715,0.5523304895862282,9.08695652173913,19.391304347826086
M2_SHARED_OPEN_LOOP,3,0,175,175,1.0,35,0.2,0.2799290680510057,0.20884787623829557,31.622776601683793,0.5989829290194668,1.5657142857142856,1.2114285714285715
M2_SHARED_OPEN_LOOP,3,1,22,22,1.0,2,0.09090909090909091,0.23217133097510925,0.19779411521320234,40.26688828053524,0.694248828605564,12.181818181818182,20.318181818181817
M2_SHARED_OPEN_LOOP,4,0,162,162,1.0,13,0.08024691358024691,0.19362745003230275,0.1140802406876423,41.65631648808973,0.7928135927043367,2.067901234567901,1.5679012345679013
M2_SHARED_OPEN_LOOP,4,1,20,20,1.0,0,0.0,0.16781599671241934,0.06740885688272427,48.68330963920616,0.861665487004813,14.45,21.4
M2_SHARED_OPEN_LOOP,5,0,150,150,1.0,5,0.03333333333333333,0.1370267750059826,0.057745708937937894,50.83056080689271,0.9718313968392934,2.566666666666667,1.9
M2_SHARED_OPEN_LOOP,5,1,18,18,1.0,0,0.0,0.14081645003239865,0.10667416850511063,57.866404761976796,1.0812943554555665,16.38888888888889,19.61111111111111
M2_SHARED_OPEN_LOOP,6,0,138,138,1.0,3,0.021739130434782608,0.099432726801876,0.009736378240893843,62.24744064240768,1.1206473699135802,3.079710144927536,2.217391304347826
M2_SHARED_OPEN_LOOP,6,1,17,17,1.0,0,0.0,0.10981373259744313,0.10818120351588911,72.47068372797375,1.3979650844650235,17.058823529411764,20.58823529411765
M2_SHARED_OPEN_LOOP,7,0,126,126,1.0,2,0.015873015873015872,0.074632555944182,0.0,70.33527926379719,1.3223917812774877,3.5476190476190474,2.484126984126984
M2_SHARED_OPEN_LOOP,7,1,16,16,1.0,0,0.0,0.08139304161710242,0.04621253213984132,83.76321632156112,1.5677187378040554,17.5625,22.0
M2_SHARED_OPEN_LOOP,8,0,114,114,1.0,1,0.008771929824561403,0.05719049006390243,0.0,80.5980778192031,1.5099635606880986,3.973684210526316,2.7280701754385963
M2_SHARED_OPEN_LOOP,8,1,15,15,1.0,0,0.0,0.058039504889778784,0.041364296081277216,101.41498903022176,1.6357256295197058,16.933333333333334,23.4
M2_SHARED_OPEN_LOOP,9,0,104,104,1.0,1,0.009615384615384616,0.04415859439410174,0.0,89.95586322699444,1.7136955322580762,4.480769230769231,3.0961538461538463
M2_SHARED_OPEN_LOOP,9,1,13,13,1.0,0,0.0,0.03220410405827893,0.012037644998905668,112.36769998536056,1.7836142854819137,15.615384615384615,23.46153846153846
M2_SHARED_OPEN_LOOP,10,0,94,94,1.0,0,0.0,0.03207433822066428,0.0,99.80042397823081,1.897459441400346,4.968085106382978,3.404255319148936
M2_SHARED_OPEN_LOOP,10,1,12,12,1.0,0,0.0,0.010485833828340946,0.0,130.9505059577918,1.6511876319368044,15.5,15.5
M2_SHARED_OPEN_LOOP,11,0,84,84,1.0,0,0.0,0.02433806521493334,0.0,109.96799373455576,2.007503388292493,5.4523809523809526,3.738095238095238
M2_SHARED_OPEN_LOOP,11,1,12,12,1.0,0,0.0,0.0028115519833418665,0.0,140.58089247742456,1.8357293893976454,15.583333333333334,15.833333333333334
M2_SHARED_OPEN_LOOP,12,0,75,75,1.0,0,0.0,0.01733204569566242,0.0,117.39356881873896,2.224313252319566,5.84,4.0
M2_SHARED_OPEN_LOOP,12,1,11,11,1.0,0,0.0,0.0038659447798299077,0.0,144.7359665045285,1.8383420206918928,16.545454545454547,15.818181818181818
M2_SHARED_OPEN_LOOP,13,0,66,66,1.0,0,0.0,0.01632771451575929,0.0,120.27446124982679,2.340767874994148,6.166666666666667,4.2272727272727275
M2_SHARED_OPEN_LOOP,13,1,11,11,1.0,0,0.0,0.0012679347848059978,0.0,153.44135687616946,2.057437020035545,16.727272727272727,16.272727272727273
M2_SHARED_OPEN_LOOP,14,0,57,57,1.0,0,0.0,0.017340272603953513,0.0,123.35821821021898,2.523371655917711,6.473684210526316,4.43859649122807
M2_SHARED_OPEN_LOOP,14,1,11,11,1.0,0,0.0,0.0,0.0,162.3614794216904,2.10749881293855,16.454545454545453,16.545454545454547
M2_SHARED_OPEN_LOOP,15,0,48,48,1.0,0,0.0,0.012099730090778298,0.0,131.05245160434941,2.7467390696477745,6.604166666666667,4.520833333333333
M2_SHARED_OPEN_LOOP,15,1,11,11,1.0,0,0.0,0.0,0.0,171.4912534212751,2.3187570698610216,16.545454545454547,16.818181818181817
M2_SHARED_OPEN_LOOP,16,0,39,39,1.0,0,0.0,0.004167697788547171,0.0,124.6645498929026,2.91547594742265,6.589743589743589,4.435897435897436
M2_SHARED_OPEN_LOOP,16,1,11,11,1.0,0,0.0,0.0,0.0,181.3897736919036,1.8819819222507614,16.545454545454547,17.0
M2_SHARED_OPEN_LOOP,17,0,30,30,1.0,0,0.0,0.0017959446360874974,0.0,127.79506409996308,2.880191629030987,6.166666666666667,4.166666666666667
M2_SHARED_OPEN_LOOP,17,1,11,11,1.0,0,0.0,0.0,0.0,194.12367192076292,2.043407072850136,16.636363636363637,17.545454545454547
M2_SHARED_OPEN_LOOP,18,0,23,23,1.0,0,0.0,0.0005481732633566477,0.0,132.03503322982124,3.0868680471114693,5.913043478260869,4.260869565217392
M2_SHARED_OPEN_LOOP,18,1,9,9,1.0,0,0.0,0.0,0.0,220.18458165820786,2.1364763716713555,17.0,15.0
M2_SHARED_OPEN_LOOP,19,0,17,17,1.0,0,0.0,0.00033961060271162487,0.0,143.4226708020737,3.302772244383481,5.176470588235294,4.0
M2_SHARED_OPEN_LOOP,19,1,8,8,1.0,0,0.0,0.0,0.0,233.8072014956595,2.181071291455097,17.875,12.25
M2_SHARED_OPEN_LOOP,20,0,12,12,1.0,0,0.0,0.0,0.0,151.99025383745044,3.48514850464003,5.0,3.75
M2_SHARED_OPEN_LOOP,20,1,7,7,1.0,0,0.0,0.0017529177598841945,0.0,246.55476065166536,2.4123991007890058,18.142857142857142,13.571428571428571
M2_SHARED_OPEN_LOOP,21,0,8,8,1.0,0,0.0,0.0,0.0,158.0066750684864,3.6105269574433745,5.0,4.0
M2_SHARED_OPEN_LOOP,21,1,5,5,1.0,0,0.0,0.0,0.0,257.24805635806075,2.940767985321233,22.2,14.8
M2_SHARED_OPEN_LOOP,22,0,5,5,1.0,0,0.0,0.0,0.0,168.3931411904891,3.743695390588662,5.2,3.8
M2_SHARED_OPEN_LOOP,22,1,3,3,1.0,0,0.0,0.0,0.0,269.462427807663,2.929575049780969,28.333333333333332,8.333333333333334
M2_SHARED_OPEN_LOOP,23,0,2,2,1.0,0,0.0,0.0,0.0,122.9745463841684,7.818288324021352,5.5,3.0
M2_SHARED_OPEN_LOOP,23,1,2,2,1.0,0,0.0,0.0,0.0,242.03584689937378,3.42252235121713,26.5,9.0
M3_ORACLE_REFRESHED_SHARED,1,0,204,204,1.0,162,0.7941176470588235,0.620004747728934,0.6099461692669992,10.51189802081432,0.19699040219707287,0.5833333333333334,0.5245098039215687
M3_ORACLE_REFRESHED_SHARED,1,1,23,23,1.0,13,0.5652173913043478,0.5444655392083525,0.556893318859173,14.577379737113251,0.29749754565537245,5.260869565217392,16.08695652173913
M3_ORACLE_REFRESHED_SHARED,2,0,189,189,1.0,67,0.3544973544973545,0.4094876921050219,0.381470639745803,20.810153771656758,0.385694607919935,1.0634920634920635,0.8571428571428571
M3_ORACLE_REFRESHED_SHARED,2,1,23,23,1.0,6,0.2608695652173913,0.34122610558467165,0.33652813985585034,28.3515872571537,0.5126720604846362,9.08695652173913,19.391304347826086
