model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_FIXED,8,8-<16,56,56,1.0,11,0.19642857142857142,0.32724195791493443,0.29413375757639093,24.71142264492109,25.2092650275029,0.4859818578558009,4.053571428571429,3.8214285714285716
S_FIXED,8,>32,2,2,1.0,1,0.5,0.6085068991013256,0.6085068991013256,19.204239616491698,19.204239616491698,0.3807189818490524,11.5,85.5
S_FIXED,9,16-32,36,36,1.0,19,0.5277777777777778,0.5188128362204651,0.5073919396990951,30.495897100074476,29.862688406310504,0.3108164070968233,11.25,6.944444444444441
S_FIXED,9,4-<8,30,30,1.0,2,0.06666666666666667,0.22499761305170496,0.2270211141064351,16.88994964469266,16.450958275488127,0.8836210938772029,1.9,1.2000000000000037
S_FIXED,9,8-<16,50,50,1.0,8,0.16,0.29369330608643957,0.2782360679927116,26.701547100092274,26.691432306992844,0.5265880184356194,3.88,4.319999999999996
S_FIXED,9,>32,1,1,1.0,0,0.0,0.4608502596656328,0.4608502596656328,21.418231966876114,21.418231966876114,0.5491854350481055,13.0,125.0
S_FIXED,10,16-32,33,33,1.0,15,0.45454545454545453,0.4852326049513461,0.4759877657090359,33.692816610155994,33.141792408402566,0.36060362345467095,12.030303030303031,7.636363636363637
S_FIXED,10,4-<8,28,28,1.0,1,0.03571428571428571,0.1957548157418231,0.207302323407124,18.367913909150047,17.54554109052392,1.0116819498463099,2.1785714285714284,1.3571428571428612
S_FIXED,10,8-<16,45,45,1.0,4,0.08888888888888889,0.2581492371248225,0.2663320766072578,29.28197068782416,30.271348975643754,0.5531286462679502,4.333333333333333,4.799999999999995
S_FIXED,11,16-32,30,30,1.0,11,0.36666666666666664,0.4549446602737354,0.45196570232051986,36.77756461731671,37.15412108527481,0.38291449764296204,12.966666666666667,8.299999999999995
S_FIXED,11,4-<8,26,26,1.0,1,0.038461538461538464,0.171748622544501,0.18260810871301164,19.79248867437927,18.91685116832231,1.0525720506155045,2.423076923076923,1.5
S_FIXED,11,8-<16,40,40,1.0,1,0.025,0.22613870701523084,0.23019972643975728,31.62549592138098,30.35566855767516,0.5851832065332584,4.825,5.399999999999994
S_FIXED,12,16-32,27,27,1.0,6,0.2222222222222222,0.42842761589554773,0.42969391844413507,39.89803232466453,39.11819870593457,0.40811116190985985,13.814814814814815,8.88888888888889
S_FIXED,12,4-<8,24,24,1.0,0,0.0,0.1519944581980488,0.15492092314833292,21.24395920304534,20.13521660164681,1.1542872072981651,2.625,1.6250000000000047
S_FIXED,12,8-<16,35,35,1.0,0,0.0,0.1991880951068821,0.2059107062421621,33.84532095838983,32.653402964090446,0.6290648992849169,5.257142857142857,5.5714285714285685
S_FIXED,13,16-32,24,24,1.0,4,0.16666666666666666,0.4050082878097723,0.40884756566435143,43.107694469382636,42.47963000966964,0.4241746265378774,14.708333333333334,9.541666666666666
S_FIXED,13,4-<8,22,22,1.0,0,0.0,0.13313446800810685,0.12889476581654233,22.661517082225824,22.321428997368514,1.2345522262849928,2.8636363636363638,1.7727272727272727
S_FIXED,13,8-<16,31,31,1.0,0,0.0,0.1686274308638742,0.16778923201050458,36.63973592465317,35.44238204181483,0.6791390696518171,5.645161290322581,6.129032258064509
S_FIXED,14,16-32,21,21,1.0,2,0.09523809523809523,0.38560745154253917,0.3771813445519669,46.39604242407187,46.94678278296447,0.46059709140529054,15.619047619047619,10.238095238095237
S_FIXED,14,4-<8,20,20,1.0,0,0.0,0.11691110381664285,0.10517806241369473,24.069841441627368,24.22845369675005,1.3417010962222564,3.05,1.9
S_FIXED,14,8-<16,27,27,1.0,0,0.0,0.14013090862255495,0.14277177116418527,39.4804065207922,36.11253747348533,0.7292107689715286,5.962962962962963,6.7407407407407405
S_FIXED,15,16-32,18,18,1.0,2,0.1111111111111111,0.36937342711338744,0.35957078065001363,49.86054045073117,50.143460642228284,0.5082829059552249,16.444444444444443,10.777777777777784
S_FIXED,15,4-<8,18,18,1.0,0,0.0,0.10207160281459655,0.07146446783286352,25.445235800813975,26.141850642371107,1.5127023310518015,3.1666666666666665,2.0
S_FIXED,15,8-<16,23,23,1.0,0,0.0,0.11549025028228214,0.10537512320350147,42.27983592126066,39.7941713265855,0.7802778691487353,6.3478260869565215,7.478260869565212
S_FIXED,16,16-32,15,15,1.0,1,0.06666666666666667,0.35589881668015144,0.34981022815332213,53.678241547250295,55.85993075031325,0.5524179039451708,17.333333333333332,11.266666666666667
