model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_FIXED,10,spacecraft,12,12,1.0,2,0.16666666666666666,0.3446607168152927,0.3557213328225316,20.5863181777349,19.76438941575343,0.42051892373943467,3.8333333333333335,3.8333333333333335
S_FIXED,10,ta-ta,14,14,1.0,0,0.0,0.08082095399234455,0.048723514023054484,23.271688322659365,24.56991934272672,1.5252918186193742,2.857142857142857,2.2857142857142856
S_FIXED,10,tank,14,14,1.0,0,0.0,0.15056664856838053,0.09757556893813597,35.873184951101365,39.688134199271936,0.8020590684658239,3.5714285714285716,3.857142857142857
S_FIXED,11,helicopter,7,7,1.0,3,0.42857142857142855,0.48896502623295107,0.4746883405474552,27.644225762999866,27.271921480775063,0.3115831587584795,10.142857142857142,16.428571428571427
S_FIXED,11,jammer,1,1,1.0,0,0.0,0.0,0.0,48.57868623050605,48.57868623050605,1.7349530796609305,3.0,16.0
S_FIXED,11,jet_plane,10,10,1.0,2,0.2,0.4000861897356348,0.39030738167008416,32.680317684129705,33.68294677910718,0.41583884912478,6.1,7.599999999999989
S_FIXED,11,large_launcher,13,13,1.0,6,0.46153846153846156,0.4788248251711584,0.48709402574186633,44.84724471824658,44.02094221254768,0.3895658602880326,19.76923076923077,4.461538461538462
S_FIXED,11,large_tower,7,7,1.0,0,0.0,0.32066905902191223,0.3059854326105502,28.258219757459326,28.28955109003647,0.4637631326235487,7.0,6.428571428571429
S_FIXED,11,small_launcher,13,13,1.0,1,0.07692307692307693,0.2799662464020586,0.22717625881392706,14.328604195834272,15.68545998792788,0.6819765212142557,1.6923076923076923,0.46153846153846156
S_FIXED,11,small_tower,8,8,1.0,0,0.0,0.23314724262063016,0.23956855202979194,32.37956290990539,32.692749747368154,0.5761236373235783,5.375,6.624999999999972
S_FIXED,11,spacecraft,11,11,1.0,1,0.09090909090909091,0.30345460635348837,0.31973855789506855,22.561513394411353,21.68056275354461,0.4612885692243534,4.2727272727272725,4.2727272727272725
S_FIXED,11,ta-ta,13,13,1.0,0,0.0,0.0635309986869434,0.029095628674463307,25.256373152924272,27.204939586315472,1.693984995373834,3.1538461538461537,2.5384615384615383
S_FIXED,11,tank,13,13,1.0,0,0.0,0.12289894281557194,0.06536978497516108,39.34003551574998,43.80173266178555,0.8925543881960566,3.923076923076923,4.230769230769231
S_FIXED,12,helicopter,6,6,1.0,2,0.3333333333333333,0.4629307150252451,0.457515963597639,29.39262712948646,29.472426434917864,0.33898167493066245,11.0,18.0
S_FIXED,12,jet_plane,9,9,1.0,0,0.0,0.36541131360302603,0.3582207632554935,35.68830564136081,36.38932872687322,0.4492509719367064,6.666666666666667,8.222222222222221
S_FIXED,12,large_launcher,12,12,1.0,4,0.3333333333333333,0.4584382930500901,0.45252385550560403,48.30802993473136,48.36653596518303,0.43205788111056914,20.583333333333332,4.833333333333333
S_FIXED,12,large_tower,6,6,1.0,0,0.0,0.2833708997549204,0.28528788374339054,30.724514473986375,30.06856013957062,0.49678865358458035,7.666666666666667,7.0
S_FIXED,12,small_launcher,12,12,1.0,0,0.0,0.25406037502367207,0.20863788009723516,15.192675702830059,16.54853721628833,0.7091283734133318,1.8333333333333333,0.5000000000000094
S_FIXED,12,small_tower,7,7,1.0,0,0.0,0.20236820532382382,0.2059107062421621,34.489066878795704,35.856699259240266,0.6290648992849169,5.857142857142857,7.428571428571429
S_FIXED,12,spacecraft,10,10,1.0,0,0.0,0.2671855315651876,0.28748082194730284,24.414172002235723,23.524679581159695,0.5005250974714829,4.6,4.6
S_FIXED,12,ta-ta,12,12,1.0,0,0.0,0.049928541372425556,0.01220348241146968,27.295242703260612,29.055834299939995,1.8238422226918287,3.4166666666666665,2.75
S_FIXED,12,tank,12,12,1.0,0,0.0,0.0985770981077257,0.044443112801716554,42.88949654381651,47.58105643321051,0.9817335875246982,4.25,4.583333333333324
S_FIXED,13,helicopter,5,5,1.0,1,0.2,0.44022510685273597,0.44716298568359925,30.806230446269165,31.677267699095896,0.36615577404786875,11.8,20.0
S_FIXED,13,jet_plane,8,8,1.0,0,0.0,0.33303549024187856,0.328377515330325,38.61723562903157,39.33024998626678,0.4855586418057627,7.125,8.875
S_FIXED,13,large_launcher,11,11,1.0,3,0.2727272727272727,0.4413444955668935,0.4319328955601194,51.965057272871334,52.17851528971295,0.4658796008010085,21.545454545454547,5.2727272727272725
