model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
T_FIXED,19,25,25,1.0,0,0.0,0.0,0.0,158.2621226480222,161.17633976486746,3.08274382033369
T_FIXED,20,19,19,1.0,0,0.0,0.0,0.0,165.38696958213026,167.69037688549693,3.171846408770727
T_FIXED,21,13,13,1.0,0,0.0,0.0,0.0,173.10716426232563,174.3554200476716,4.2145230029045795
T_FIXED,22,8,8,1.0,0,0.0,0.0,0.0,182.10537754240636,205.54008704065046,3.5966860613389633
T_FIXED,23,4,4,1.0,0,0.0,0.0,0.0,188.43575177045875,213.8824091816849,3.756413852035827
T_RES_CV,1,227,227,1.0,227,1.0,0.9052158242890396,0.9323671497584541,2.5822430262423817,1.4142135623730951,0.028971701781777184
T_RES_CV,2,212,212,1.0,201,0.9481132075471698,0.8219980716315256,0.8657623411370824,5.320976115712219,3.0413812651491097,0.06209579389678557
T_RES_CV,3,197,197,1.0,170,0.8629441624365483,0.7237388966576173,0.7748562037797864,8.605956172419747,5.533985905294664,0.11228361294222662
T_RES_CV,4,182,182,1.0,135,0.7417582417582418,0.6214715121852532,0.664266675285297,12.087152445544627,9.340770846134703,0.16579130016052912
T_RES_CV,5,168,168,1.0,99,0.5892857142857143,0.5336559573577695,0.5845442503889011,16.03088567061873,13.17065479278964,0.2444594292427615
T_RES_CV,6,155,155,1.0,78,0.5032258064516129,0.46080586861007594,0.5003762227238525,20.372565278585622,17.240939649566666,0.3245228538094476
T_RES_CV,7,142,142,1.0,55,0.3873239436619718,0.39570621012893037,0.40857912483586245,25.273696742515362,21.635445401531094,0.4099543963816781
T_RES_CV,8,129,129,1.0,34,0.26356589147286824,0.3398066245721612,0.3320715246301738,30.393628135426727,26.890983619049713,0.5056377041392605
T_RES_CV,9,117,117,1.0,21,0.1794871794871795,0.2845301813689252,0.2666284403669725,35.308727531921114,31.544611267219636,0.5464244449698978
T_RES_CV,10,106,106,1.0,14,0.1320754716981132,0.23211311334693535,0.20030714820919482,41.95153477491967,37.67584546336167,0.6770509303630381
T_RES_CV,11,96,96,1.0,4,0.041666666666666664,0.1823152261035005,0.1284769949868214,49.36855220986482,44.212905062989435,0.815008382022679
T_RES_CV,12,86,86,1.0,4,0.046511627906976744,0.13912130930792746,0.05656706298332217,57.88303319137898,50.8138851517042,0.9763044485911309
T_RES_CV,13,77,77,1.0,1,0.012987012987012988,0.10310242025778014,0.003925061938034128,67.624806004547,59.942680954391754,1.217476899164826
T_RES_CV,14,68,68,1.0,0,0.0,0.06849901179684491,0.0,79.6111797663302,68.87214500607757,1.4208692296044356
T_RES_CV,15,59,59,1.0,0,0.0,0.03733681706538911,0.0,95.01286693631995,83.25337830983197,1.7074029733764695
T_RES_CV,16,50,50,1.0,0,0.0,0.01387085645691465,0.0,114.73070575086643,98.48924475425179,2.1335292227845923
T_RES_CV,17,41,41,1.0,0,0.0,0.004527558662021914,0.0,130.28352992423407,107.05606008068857,2.7257793325205184
T_RES_CV,18,32,32,1.0,0,0.0,0.0007502469578208758,0.0,138.56671783366986,119.16889699348332,3.6322425263117157
T_RES_CV,19,25,25,1.0,0,0.0,0.0,0.0,157.1689875176175,133.51521448883645,4.6901134806364375
T_RES_CV,20,19,19,1.0,0,0.0,0.0,0.0,178.58435838492323,146.3456951877984,5.4322602842501215
T_RES_CV,21,13,13,1.0,0,0.0,0.0,0.0,173.76316117826295,152.37720466001468,5.942104099914062
T_RES_CV,22,8,8,1.0,0,0.0,0.0,0.0,203.23117821583224,164.78618964950763,6.646245767375626
T_RES_CV,23,4,4,1.0,0,0.0,0.0,0.0,257.3314057825536,180.8067988059475,8.285502763813563
