dataset,frame_index,record_present,sequence_id,request_frame,resolution_level,center_x,center_y,camera_decision_reason,camera_requested_level,camera_requested_center_x,camera_requested_center_y,camera_feedback_present,camera_feedback_reason,proposal_count,crops,rejected_as_background,rejection_fraction,mean_objectness,mean_margin,observation_count,observation_top_posterior_mean,bank_tracks,bank_matched,bank_created,bank_removed,confirmed_tracks,tentative_tracks,track_age_mean,track_age_max,track_identity_confidence_mean,track_posterior_gap_mean,output_candidates,output_emitted,output_dropped_invalid,output_distinct_classes,output_secondary_guesses,gmc_model,gmc_ok,gmc_reason,gmc_quality,gmc_inliers,gmc_candidates,gmc_inlier_ratio,gmc_translation_x,gmc_translation_y,gmc_translation_magnitude,total_latency_ms
hosted,59,True,c6ae6aa777ba4e949a81d31e46a5f55f,60,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9985,0.0526,1,0.3194,6,1,0,1,5,1,1.3333333333333333,2,0.17186666666666664,0.05291666666666665,18,18,0,9,12,affine,True,accepted,0.9933,296,298,0.9933,-14.55,52.43,54.41146386562303,114.2
hosted,60,True,c6ae6aa777ba4e949a81d31e46a5f55f,61,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9998,0.0644,1,0.5596,3,1,0,3,3,0,1.3333333333333333,2,0.22553333333333334,0.08889999999999999,9,9,0,5,6,affine,True,accepted,0.9896,285,288,0.9896,-14.5,52.55,54.51378266090145,114.0
hosted,61,True,c6ae6aa777ba4e949a81d31e46a5f55f,62,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.9857,0.0252,2,0.37675000000000003,2,2,0,1,2,0,0.0,0,0.29085,0.12299999999999998,6,6,0,4,4,affine,True,accepted,0.9898,290,293,0.9898,-14.79,52.58,54.62051354573664,109.54
hosted,62,True,c6ae6aa777ba4e949a81d31e46a5f55f,63,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9769,0.0104,1,0.2086,2,1,0,0,2,0,0.5,1,0.2899,0.12,6,6,0,4,4,affine,True,accepted,0.9932,292,294,0.9932,-14.69,52.61,54.62241481296849,114.61
hosted,63,True,c6ae6aa777ba4e949a81d31e46a5f55f,64,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,1,0,0,1,1,0,1.0,1,0.1567,0.01100000000000001,3,3,0,3,2,affine,True,accepted,0.9897,288,291,0.9897,-14.69,52.19,54.21800623409164,92.32
hosted,64,True,c6ae6aa777ba4e949a81d31e46a5f55f,65,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9692,0.0724,1,0.4454,2,0,1,0,1,1,1.0,2,0.13625,0.016100000000000003,6,6,0,6,4,affine,True,accepted,0.9898,291,294,0.9898,-14.61,52.44,54.43717204264013,114.32
hosted,65,True,c6ae6aa777ba4e949a81d31e46a5f55f,66,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.9904,0.0234,2,0.2112,3,1,1,0,1,2,0.3333333333333333,1,0.1198,0.01446666666666666,9,9,0,8,6,affine,True,accepted,0.9932,291,293,0.9932,-14.75,52.46,54.49416574276553,108.56
hosted,66,True,c6ae6aa777ba4e949a81d31e46a5f55f,67,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,3,0,0,0,1,2,1.3333333333333333,2,0.1198,0.01446666666666666,9,9,0,8,6,affine,True,accepted,0.9966,290,291,0.9966,-14.55,52.57,54.546378431569586,92.18
hosted,67,True,c6ae6aa777ba4e949a81d31e46a5f55f,68,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.9653,0.0211,2,0.293,4,1,1,0,2,2,1.0,2,0.117825,0.015824999999999995,12,12,0,8,8,affine,True,accepted,0.9897,287,290,0.9897,-14.9,52.58,54.65040164536762,109.05
hosted,68,True,c6ae6aa777ba4e949a81d31e46a5f55f,69,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,2,0,0,2,1,1,1.0,1,0.11385,0.02055,6,6,0,6,4,affine,True,accepted,0.9933,295,297,0.9933,-14.42,52.71,54.64687090767412,92.27
